Type,Notes,Distance (km) From Start,Elevation (m),Description,Edited
Start,Start of route,0,0,,
Danger,sign_01,0.24,304.20,Voie ferrée,Edited
Danger,sign_02,0.25,304.00,Terre-plein,Edited
Generic,sign_03,1.23,295.90,,Edited
Control,sign_32,1.60,293.70,"Contrôle policier, intersection route provinciale, gestion du giratoire",Edited
Generic,sign_04,1.96,298.00,carrefour giratoire,Edited
Control,sign_33,1.98,297.70,"Contrôle policier, intersection route provinciale, gestion du giratoire",Edited
Danger,sign_05,2.34,297.90,"Terre-plein, tout à droite (devant Mazda)",Edited
Danger,sign_06,2.79,301.10,"Terre-plein, tout à droite (devant Centre du camping)",Edited
Danger,sign_34,3.00,306.80,"Terre-plein, tout à droite (devant cimetière)",Edited
Danger,sign_07,3.49,305.20,"Terre-plein, tout à droite (devant AIM)",Edited
Danger,sign_08,4.14,308.20,"Terre-plein, tout à droite (devant pneu GBM)",Edited
Left,sign_09,7.67,316.70,"Virage gauche,
Contrôle policier, intersection route provinciale",Edited
Danger,sign_10,17.18,314.60,Voie ferrée à angle,Edited
Right,sign_11,37.78,319.30,"Contrôle policier, virage à droite sur route provinciale 386",Edited
Left,sign_12,49.96,311.80,"Terre-Plein (Barraute, virage à gauche)",Edited
Left,sign_13,50.01,312.50,"Terre-plein (Barraute, virage à gauche)",Edited
Danger,sign_14,94.10,305.00,"Terre-plein blvd JJ Cossette (tout à droite, intersection du Portage)",Edited
Danger,sign_15,94.19,306.10,"Terre-plein blvd JJ Cossette (tout à droite, après intersection du Portage)",Edited
Danger,sign_16,94.37,305.90,"Terre-plein blvd JJ Cossette (tout à droite, devant Orbit Garant)",Edited
Danger,sign_17,94.62,302.50,"Terre-plein blvd JJ Cossette (tout à droite, devant cours à bois Eacom)",Edited
Danger,sign_18,95.58,303.80,"Entrée carrefour giratoire 7e rue & 117, (tout à droite)",Edited
Straight,sign_19,95.63,302.60,"Contrôle policier, intersection route provinciale, gestion du giratoire",Edited
Danger,sign_20,96.21,306.00,Voie ferrée,Edited
Danger,sign_21,96.35,305.10,Terre-plein intersection 7e & 7e (tout à droite),Edited
End,End of route,106.51,310.70,
