Type,Notes,Distance (km) From Start,Elevation (m),Description,Edited
Start,Start of route,0,0,,
Left,sign_01,0.31,307.00,Virage à gauche sur 4e rue ouest,Edited
Right,sign_02,0.62,306.50,Virage à droite par la bretelle,Edited
Right,sign_03,37.04,344.00,"Contrôle policier, intersection route provinciale, virage à droite sur route 117",Edited
Danger,sign_04,65.33,319.00,"Entrée carrefour giratoire, tout à droite et prendre 1ère sortie",Edited
Control,sign_05,65.43,319.00,"Entrée carrefour giratoire, tout à droite et prendre 1ère sortie",Edited
Generic,sign_06,66.32,306.00,Voie ferrée perpendiculaire à la route,Edited
Danger,sign_07,67.43,304.10,Voie ferrée perpendiculaire à la route,Edited
Danger,sign_08,67.87,302.20,"Terre-plein, tout à gauche et prendre première sortie à gauche",Edited
Left,sign_09,67.92,302.10,"Contrôle policier, intersection route provinciale, gestion du giratoire",Edited
Danger,sign_10,68.46,306.00,Voie ferrée,Edited
Danger,sign_11,68.60,305.20,Terre-plein,Edited
End,End of route,121.03,310.70,
