Type,Notes,Distance (km) From Start,Elevation (m),Description,Edited
Start,Start of route,0,0,,
Left,sign_01,0.09,319.50,,Edited
Left,sign_02,0.24,317.70,,Edited
Danger,sign_03,0.66,319.90,,Edited
Danger,Sign_04,0.84,319.10,,Edited
Slight Right,sign_06,1.56,327.10,,Edited
Slight Left,sign_07,6.96,309.30,,Edited
Slight Left,sign_09,16.47,302.40,,Edited
Straight,sign_11,29.58,321.90,,Edited
Left,sign_12,30.08,321.80,,Edited
Generic,sign_05,30.12,320.80,,Edited
Danger,sign_13,30.19,320.50,,Edited
Left,sign_14,30.37,320.00,,Edited
Right,sign_15,30.83,322.00,,Edited
Generic,sign_08,43.65,304.30,,Edited
Generic,sign_16,52.82,308.90,,Edited
Slight Right,sign_20,58.57,323.60,,Edited
Generic,sign_21,58.73,326.10,,Edited
Generic,sign_22,59.03,323.10,,Edited
Slight Right,sign_23,59.45,317.10,,Edited
Danger,sign_24,59.59,319.50,,Edited
Right,sign_25,59.71,320.40,,Edited
Left,sign_26,60.06,320.70,,Edited
Generic,sign_27,60.35,318.90,,Edited
End,End of route,60.35,318.90,
